profile,slurm_id1,run_id,itnum,ncpu,ngpu,function,time_ms
profile,12110274,12110283,3,4,0,calcVC,1358.593
profile,12110274,12110283,2,4,0,find_qtl,54924.389
profile,12110274,12110283,2,4,0,constructX,20156.014
profile,12110274,12110283,2,4,0,calc_extBIC,2163.186
profile,12110274,12110283,2,4,0,calcVC,1335.681
profile,12110274,12110283,1,4,0,invMMt,253.87
profile,12110274,12110283,1,4,0,find_qtl,57947.693
profile,12110274,12110283,1,4,0,constructX,0.139
profile,12110274,12110283,1,4,0,calc_extBIC,2269.156
profile,12110274,12110283,1,4,0,calcVC,1723.611
profile,12110274,12110283,1,4,0,MMt,43225.816
profile,12110274,12110282,4,2,0,find_qtl,83809.022
profile,12110274,12110282,4,2,0,constructX,18378.963
profile,12110274,12110282,4,2,0,calc_extBIC,2912.36
profile,12110274,12110282,4,2,0,calcVC,1676.93
profile,12110274,12110282,3,2,0,find_qtl,75495.848
profile,12110274,12110282,3,2,0,constructX,18005.59
profile,12110274,12110282,3,2,0,calc_extBIC,2776.051
profile,12110274,12110282,3,2,0,calcVC,1751.172
profile,12110274,12110282,2,2,0,find_qtl,77678.216
profile,12110274,12110282,2,2,0,constructX,18098.207
profile,12110274,12110282,2,2,0,calc_extBIC,2936.907
profile,12110274,12110282,2,2,0,calcVC,1793.73
profile,12110274,12110282,1,2,0,invMMt,286.329
profile,12110274,12110282,1,2,0,find_qtl,80515.362
profile,12110274,12110282,1,2,0,constructX,0.138
profile,12110274,12110282,1,2,0,calc_extBIC,2958.091
profile,12110274,12110282,1,2,0,calcVC,2170.069
profile,12110274,12110282,1,2,0,MMt,60273.72
profile,12110274,12110281,4,1,0,find_qtl,135275.017
profile,12110274,12110281,4,1,0,constructX,21504.656
profile,12110274,12110281,4,1,0,calc_extBIC,3789.778
profile,12110274,12110281,4,1,0,calcVC,2325.948
profile,12110274,12110281,3,1,0,find_qtl,141705.987
profile,12110274,12110281,3,1,0,constructX,21362.275
profile,12110274,12110281,3,1,0,calc_extBIC,3731.291
profile,12110274,12110281,3,1,0,calcVC,2410.86
profile,12110274,12110281,2,1,0,find_qtl,135501.124
profile,12110274,12110281,2,1,0,constructX,21443.677
profile,12110274,12110281,2,1,0,calc_extBIC,3834.361
profile,12110274,12110281,2,1,0,calcVC,2389.335
profile,12110274,12110281,1,1,0,invMMt,302.543
profile,12110274,12110281,1,1,0,find_qtl,139982.519
profile,12110274,12110281,1,1,0,constructX,0.134
profile,12110274,12110281,1,1,0,calc_extBIC,3898.832
profile,12110274,12110281,1,1,0,calcVC,2790.33
profile,12110274,12110281,1,1,0,MMt,98289.186
profile,12110262,12110279,4,28,0,find_qtl,29166.248
profile,12110262,12110279,4,28,0,constructX,20986.45
profile,12110262,12110279,4,28,0,calc_extBIC,1821.797
profile,12110262,12110279,4,28,0,calcVC,1048.5
profile,12110262,12110279,3,28,0,find_qtl,27917.872
profile,12110262,12110279,3,28,0,constructX,21784.764
profile,12110262,12110279,3,28,0,calc_extBIC,1821.171
profile,12110262,12110279,3,28,0,calcVC,1201.89
profile,12110262,12110279,2,28,0,find_qtl,28850.45
profile,12110262,12110279,2,28,0,constructX,23349.444
profile,12110262,12110279,2,28,0,calc_extBIC,1944.064
profile,12110262,12110279,2,28,0,calcVC,1199.201
profile,12110262,12110279,1,28,0,invMMt,162.961
profile,12110262,12110279,1,28,0,find_qtl,29988.837
profile,12110262,12110279,1,28,0,constructX,0.126
profile,12110262,12110279,1,28,0,calc_extBIC,1908.196
